BIB,Division,Age,State,Country,Profession,Points,T1,T2
3,PRO,36,BC,CAN,---,5000,00:03:03,00:01:34
1,PRO,40,CO,USA,---,4713,00:03:02,00:02:44
19,PRO,36,CO,USA,---,4618,00:03:18,00:01:42
17,PRO,34,NY,USA,---,4480,00:03:08,00:01:35
382,30-34,33,TX,USA,---,5000,00:04:25,00:02:05
26,PRO,28,NH,USA,---,4411,00:03:46,00:03:02
4,PRO,32,CO,AUS,---,4375,00:03:24,00:01:56
16,PRO,28,ON,CAN,---,4351,00:03:05,00:01:49
23,PRO,34,CO,USA,---,4331,00:03:55,00:02:37
22,PRO,37,PA,USA,---,4291,00:03:04,00:02:30
395,40-44,42,---,BEL,---,5000,00:04:09,00:02:00
13,PRO,28,NJ,USA,---,4248,00:03:04,00:02:11
24,PRO,38,CA,USA,---,4243,00:03:58,00:01:40
1666,30-34,32,QC,FRA,---,4758,00:03:59,00:02:08
392,35-39,34,VA,USA,---,5000,00:03:41,00:01:34
25,PRO,37,MA,USA,---,4165,00:03:46,00:02:57
403,40-44,40,---,NLD,---,4877,00:05:03,00:03:16
486,30-34,32,MD,USA,---,4710,00:03:47,00:02:33
390,35-39,36,NY,USA,---,4935,00:03:49,00:02:41
18,PRO,29,QC,CAN,---,4091,00:05:25,00:03:23
1458,18-24,23,CT,USA,---,5000,00:03:31,00:02:20
378,25-29,29,VA,USA,---,5000,00:03:27,00:01:46
12,PRO,33,NY,USA,---,3982,00:04:01,00:01:44
21,PRO,28,CT,USA,---,3973,00:03:13,00:01:59
507,35-39,36,MA,IND,---,4796,00:04:50,00:02:24
1536,25-29,25,MN,USA,---,4962,00:05:21,00:04:02
1796,35-39,38,NY,USA,---,4786,00:03:42,00:02:53
402,40-44,40,SC,CZE,---,4668,00:03:57,00:02:06
489,30-34,33,NY,USA,---,4493,00:03:54,00:02:08
2177,40-44,42,MA,USA,---,4616,00:05:00,00:02:45
2965,40-44,40,NY,USA,---,5000,00:04:04,00:01:37
1503,25-29,24,NJ,BRA,---,4892,00:04:31,00:02:51
498,35-39,38,NY,USA,---,4704,00:05:50,00:03:35
1673,30-34,31,NY,IRL,---,4436,00:05:35,00:04:07
15,PRO,33,NY,USA,---,3852,00:04:09,00:02:04
733,50-54,49,NY,USA,---,5000,00:04:02,00:02:01
552,45-49,47,CT,USA,---,5000,00:04:46,00:03:27
383,30-34,31,NY,USA,---,4390,00:04:44,00:02:04
1591,30-34,31,---,DNK,---,4363,00:04:20,00:04:26
493,35-39,39,VA,USA,---,4616,00:04:07,00:02:14
417,50-54,51,PA,USA,---,4925,00:04:25,00:02:46
774,45-49,45,MA,USA,---,4946,00:05:04,00:02:41
397,40-44,41,PA,USA,---,4484,00:04:39,00:01:45
652,30-34,30,WI,USA,---,4333,00:04:42,00:04:03
399,40-44,43,Kolín,CZE,---,4470,00:04:43,00:02:58
381,30-34,29,NJ,USA,---,4319,00:04:12,00:01:48
671,35-39,37,OH,USA,---,4569,00:04:59,00:02:54
384,30-34,30,ON,CAN,---,4289,00:04:17,00:02:34
352,30-34,31,IL,USA,---,5000,00:04:58,00:02:15
359,35-39,36,ON,CAN,---,5000,00:04:51,00:02:43
770,50-54,---,QC,CAN,---,4839,00:04:12,00:02:19
412,45-49,48,CA,USA,---,4859,00:06:12,00:03:18
147,35-39,35,CT,BRA,---,4502,00:05:15,00:03:16
1853,35-39,36,NY,USA,---,4496,00:06:26,00:03:20
558,50-54,49,Quebec,CAN,---,4813,00:05:03,00:03:09
1809,35-39,39,NH,USA,---,4473,00:04:10,00:02:49
525,40-44,40,CT,USA,---,4359,00:05:41,00:02:22
1844,35-39,37,MA,USA,---,4463,00:06:18,00:01:52
396,40-44,40,NY,USA,---,4343,00:07:33,00:04:11
365,35-39,37,MA,CZE,---,4927,00:04:24,00:02:41
200,40-44,40,NY,USA,---,4325,00:05:35,00:03:08
411,45-49,47,NC,USA,---,4775,00:07:49,00:04:04
394,40-44,42,QC,USA,---,4315,00:03:56,00:02:12
711,40-44,40,QC,CAN,---,4315,00:03:53,00:03:21
1623,30-34,31,MA,USA,---,4154,00:04:44,00:03:18
483,30-34,31,QC,CAN,---,4145,00:03:47,00:02:17
1524,25-29,29,NY,USA,---,4574,00:06:17,00:02:12
400,40-44,43,CT,USA,---,4283,00:04:37,00:03:04
781,40-44,41,MA,USA,---,4280,00:06:49,00:03:47
499,35-39,36,PA,USA,---,4387,00:05:43,00:03:04
2123,40-44,40,VA,GBR,---,4274,00:05:18,00:02:44
1908,35-39,35,CT,USA,---,4382,00:04:57,00:02:18
404,40-44,41,VA,USA,---,4261,00:05:26,00:02:49
2967,25-29,26,NY,USA,---,4544,00:05:33,00:03:18
2174,40-44,44,NH,USA,---,4256,00:04:55,00:03:35
